,selected,transfers_balance,transfers_in,transfers_out,ict_index,value,label
4,61050,-12941,3395,16336,0.2,58,0
5,56582,-5828,2798,8626,0.0,57,-1
6,51252,-6047,1137,7184,0.3,57,0
7,49054,-2833,1891,4724,4.9,56,-1
8,46936,-2869,1982,4851,0.0,56,0
9,45015,-2212,655,2867,0.0,56,0
10,43049,-2223,790,3013,1.7,55,-1
11,42578,-881,1286,2167,0.2,55,0
12,42140,-596,861,1457,6.3,55,0
13,42821,440,1769,1329,2.7,55,0
14,42782,-497,1821,2318,0.0,55,0
15,42355,-544,1028,1572,0.0,55,0
16,41763,-798,1144,1942,0.0,55,0
17,46549,1105,4416,3311,0.3,55,0
18,42894,-471,1606,2077,0.0,55,0
19,41676,-1588,1098,2686,0.0,55,0
20,40838,-987,571,1558,0.0,54,-1
21,41070,-32,1273,1305,0.0,54,0
22,40134,-1107,537,1644,0.0,54,0
23,39403,-904,615,1519,0.0,54,0
24,39220,-371,622,993,0.0,54,0
0,17820,0,0,0,0.0,45,0
1,13976,-3896,302,4198,0.0,45,0
2,12195,-2114,485,2599,0.0,45,0
3,11046,-1287,215,1502,0.0,45,0
4,14162,1518,3519,2001,0.0,44,-1
5,18104,2822,4836,2014,0.0,44,0
6,18094,220,1679,1459,0.0,44,0
7,17807,-414,1011,1425,0.0,44,0
8,18408,36,1560,1524,0.0,44,0
9,18114,-254,644,898,0.0,44,0
10,17474,-619,456,1075,0.0,44,0
11,17307,-300,410,710,0.0,44,0
12,17253,-89,408,497,0.0,44,0
13,17087,-233,333,566,0.0,44,0
14,17002,-218,531,749,4.7,44,0
15,25098,7408,8347,939,3.5,44,0
16,36415,11153,14188,3035,7.6,44,0
17,408204,141708,160130,18422,2.6,44,0
18,219564,51999,80084,28085,7.8,45,1
19,290496,65532,101301,35769,3.1,45,0
20,201113,-87304,6424,93728,5.9,45,0
21,201009,-2788,20648,23436,3.0,44,-1
22,182573,-18772,9000,27772,5.0,44,0
23,169536,-12767,18838,31605,6.0,43,-1
24,167726,-4453,17567,22020,0.0,43,0
0,491508,0,0,0,0.0,55,0
1,357292,-145334,7716,153050,5.8,54,-1
2,286264,-81091,14805,95896,0.0,54,0
3,243259,-47534,9105,56639,10.0,53,-1
4,224096,-24953,16280,41233,7.6,53,0
5,223383,-5116,18693,23809,7.4,53,0
6,208220,-16230,7667,23897,2.1,53,0
7,219061,7403,22944,15541,1.7,53,0
8,206289,-13205,12345,25550,5.6,53,0
9,191920,-15500,6336,21836,6.8,52,-1
10,178881,-13462,5492,18954,5.1,52,0
11,179778,-1264,10483,11747,9.5,52,0
12,173534,-6255,5118,11373,3.8,52,0
13,169035,-5246,5800,11046,6.8,52,0
14,164237,-5361,7476,12837,7.5,51,-1
15,290455,120012,126226,6214,12.9,51,0
16,424772,132869,153139,20270,13.9,52,1
17,1292064,338470,386443,47973,8.4,53,1
18,660260,-50834,73027,123861,15.6,53,0
19,833682,121386,185520,64134,9.9,53,0
20,944194,105509,151953,46444,0.0,54,1
21,773081,-167173,21708,188881,5.4,54,0
22,805284,21444,69362,47918,10.5,54,0
23,741694,-60506,45233,105739,3.2,53,-1
24,695537,-56899,27893,84792,5.7,53,0
0,2608,0,0,0,0.0,50,0
1,2378,-588,185,773,0.0,50,0
2,2073,-402,126,528,0.0,50,0
3,1959,-187,106,293,0.0,49,-1
4,1814,-172,100,272,0.0,49,0
5,1795,-51,91,142,0.0,49,0
6,1730,-84,54,138,0.0,49,0
7,1707,-33,53,86,0.0,49,0
8,1670,-46,61,107,0.0,49,0
9,1695,22,78,56,0.0,49,0
10,1780,75,143,68,0.0,49,0
11,1949,154,240,86,0.0,49,0
